Name,Type,GT,Dwt,Built,LOA (m),Status,Owner,Group Owner,Operator,Flag State,SOx Scrubber Status,Main Engine Fuel Type,Power Type,Total Installed Diesel Cap. (kW),TEU,Auxiliary Engine 1 (mkW),Main Engine 1 (mkW),Main Bunker Fuel Type,Ancillary Engine Fuel Type,Design Speed,Main Consumption at Design Speed (tpd),Ice Class Equivalent (Fi-Sw),Price_NB,Ice Class (Ind),Main Engine Model,Main Engine Model Series,Power Type,SFC Vessel Types,OFC Vessel Types,Main Engine Model Designer,Speed (knots),Draught (m),Beam (m),Main Engine Model Designer group,Builder Country/Region,Owner Nationality/Region,Hull No,Fleet Type,Consumption (tpd)
De Xin Hai,Bulk Carrier,40892,76431,2008,225,In Service,COSCO Shipping Bulk,China COSCO Shipping,COSCO Shipping Bulk,China P.R.,,IFO 380,Diesel 2-Stroke,,,,10193,,,,,,35.5,N,5S60MC6.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.5,14.2,32.26,MAN Energy Solutions,China P.R.,China P.R.,H2370,Bulkers,
De Ming Hai,Bulk Carrier,40892,76431,2008,225,In Service,COSCO Shipping Bulk,China COSCO Shipping,COSCO Shipping Bulk,China P.R.,,IFO 380,Diesel 2-Stroke,,,,10193,,,,,,35.5,N,5S60MC6.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.5,14.2,32.26,MAN Energy Solutions,China P.R.,China P.R.,H2369,Bulkers,
Golden Shea,Bulk Carrier,40717,76937,2007,224.9,In Service,Golden Ocean Group,Fredriksen Group,Golden Ocean Group,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,1500,9930,IFO 380,,,,,,N,6S60MC6.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.1,13.94,32.26,MAN Energy Solutions,Japan,Norway,266,Bulkers,35
Delphinus,Bulk Carrier,40717,76948,2007,224.9,In Service,Kumiai Nav. Pte. Ltd,Kumiai Senpaku KK,K-Line,Singapore,,IFO 380,Diesel 2-Stroke,,,1500,9787,IFO 380,,,,,,N,6S60MC6.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.5,13.94,32.26,MAN Energy Solutions,Japan,Japan,267,Bulkers,35
Sea Diamond,Bulk Carrier,40690,77096,2007,224.99,In Service,Hanaro Shipping,Hanaro Shipping,Hanaro Shipping,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,1500,9787,IFO 380,,,,,,N,6S60MC6.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.5,14.08,32.26,MAN Energy Solutions,Japan,South Korea,293,Bulkers,35
Shoyo,Bulk Carrier,40690,77008,2008,224.9,In Service,Universal Marine,Universal Marine,Universal Marine,Panama,,IFO 380,Diesel 2-Stroke,,,1500,9930,IFO 380,,,,,,N,6S60MC6.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.1,14.08,32.26,MAN Energy Solutions,Japan,Japan,285,Bulkers,35
Navios Helios,Bulk Carrier,40689,77075,2005,224.9,In Service,Navios MLP,Navios Holdings,Navios MLP,Panama,,IFO 380,Diesel 2-Stroke,,,1500,9930,IFO 380,,,,,,N,6S60MC6.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.1,13.94,32.26,MAN Energy Solutions,Japan,Greece,263,Bulkers,35
Yi Peng 3,Bulk Carrier,40622,75121,2001,224.97,In Service,Ningbo Yipeng,Ningbo Yipeng,Ningbo Yipeng,China P.R.,,IFO 380,Diesel 2-Stroke,,,,11143,IFO 380,,,,,,N,6S60MC6,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.17,32.25,MAN Energy Solutions,South Korea,China P.R.,1084,Bulkers,32
Yi Peng,Bulk Carrier,40622,75151,2001,224.97,In Service,Ningbo Yipeng,Ningbo Yipeng,Ningbo Yipeng,China P.R.,,IFO 380,Diesel 2-Stroke,,,,11143,IFO 380,,,,,,N,6S60MC6,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.17,32.25,MAN Energy Solutions,South Korea,China P.R.,1121,Bulkers,33
Danae,Bulk Carrier,40622,75106,2001,224.97,In Service,Diana Shpg. Agencies,Diana Shpg. Agencies,Diana Shpg. Agencies,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,2235,11172,IFO 380,,,,,,N,6S60MC6,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.17,32.25,MAN Energy Solutions,South Korea,Greece,1082,Bulkers,33
Omicron Sky,Bulk Carrier,40611,77031,2006,224.9,In Service,Omicron Ship Mgmt,Omicron Ship Mgmt,Omicron Ship Mgmt,Liberia,,IFO 380,Diesel 2-Stroke,,,1500,9926,IFO 380,,,,,,N,6S60MC6.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.1,14.08,32.26,MAN Energy Solutions,Japan,Greece,264,Bulkers,35
Captain Diamantis,Bulk Carrier,40609,74757,2000,225,In Service,Diamlemos Shipping,Diamlemos Shipping,Diamlemos Shipping,Greece,,IFO 380,Diesel 2-Stroke,,,,11300,IFO 380,,,,,20.4,N,5S60MC-C6,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.27,32.26,MAN Energy Solutions,China P.R.,Greece,H1271A,Bulkers,34.5
Fortune Trader,Bulk Carrier,40609,74764,2001,225,In Service,Seadar Shipmngt.,Seadar Shipmngt.,Seadar Shipmngt.,Liberia,,IFO 380,Diesel 2-Stroke,,,,11300,IFO 380,,,,,20.4,N,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.27,32.26,MAN Energy Solutions,China P.R.,Greece,H1272A,Bulkers,35.5
Angelic Peace,Bulk Carrier,40609,74764,2001,225,In Service,Diamlemos Shipping,Diamlemos Shipping,Diamlemos Shipping,Greece,,IFO 380,Diesel 2-Stroke,,,,11300,IFO 380,,,,,20.4,N,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.27,32.26,MAN Energy Solutions,China P.R.,Greece,H1285A,Bulkers,34.5
Mahnam,Bulk Carrier,40609,72642,2001,225,In Service,Rahbaran Omid Darya,IRISL,Rahbaran Omid Darya,Iran,,IFO 380,Diesel 2-Stroke,,,,11165,,,,,,,N,6S60MC6,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.5,14.15,32.21,MAN Energy Solutions,South Korea,Iran,1096,Bulkers,
Termeh,Bulk Carrier,40609,75249,2001,225,In Service,Rahbaran Omid Darya,IRISL,Rahbaran Omid Darya,Iran,,IFO 380,Diesel 2-Stroke,,,,11165,,,,,,,N,6S60MC6,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.8,14.15,32.25,MAN Energy Solutions,South Korea,Iran,1097,Bulkers,
Artemis,Bulk Carrier,40608,76942,2006,224.99,In Service,Diana Shipping,Diana Shipping,Diana Shipping,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,1500,9925,IFO 380,,,,,,N,6S60MC6.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.1,14.08,32.26,MAN Energy Solutions,Japan,Greece,265,Bulkers,35
S'hail al Khor,Bulk Carrier,40605,75259,2001,225.01,In Service,S'hail Shipping,S'hail Shipping,S'hail Shipping,Qatar,,IFO 380,Diesel 2-Stroke,,,1330,11172,IFO 380,,,,,,N,6S60MC6,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.17,32.25,MAN Energy Solutions,South Korea,Qatar,1090,Bulkers,32.5
Xie Hai Kai Tuo,Bulk Carrier,40605,75323,2001,225,In Service,Zhejiang Xiehai Shpg,Zhejiang Xiehai Shpg,Zhejiang Xiehai Shpg,China P.R.,,IFO 380,Diesel 2-Stroke,,,,11169,IFO 380,,,,,,N,6S60MC6,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,13.5,14.17,32.25,MAN Energy Solutions,South Korea,China P.R.,1091,Bulkers,34.5
Shuo Long 817,Bulk Carrier,40605,75259,2001,225,In Service,Jiangsu Shuolong,Jiangsu Shuolong,Jiangsu Shuolong,China P.R.,,IFO 380,Diesel 2-Stroke,,,,11172,IFO 380,,,,,,N,6S60MC6,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.17,32.25,MAN Energy Solutions,South Korea,China P.R.,1092,Bulkers,32.5
Jiu Ji 3,Bulk Carrier,40605,75250,2001,225,In Service,Shanghai Jiuji,Shanghai Jiuji,Shanghai Jiuji,China P.R.,,IFO 380,Diesel 2-Stroke,,,1340,11172,IFO 380,,,,,,N,6S60MC6,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.17,32.25,MAN Energy Solutions,South Korea,China P.R.,1093,Bulkers,32.5
Xie Hai Yong Xin,Bulk Carrier,40605,75202,2001,225,In Service,Zhejiang Xiehai Shpg,Zhejiang Xiehai Shpg,Zhejiang Xiehai Shpg,China P.R.,,IFO 380,Diesel 2-Stroke,,,,11172,IFO 380,,,,,,N,6S60MC6,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.17,32.25,MAN Energy Solutions,South Korea,China P.R.,1094,Bulkers,32.5
Olympos,Bulk Carrier,40605,75253,2001,225,In Service,Titan Maritime Ltd,Titan Maritime Ltd,Titan Maritime Ltd,Panama,,IFO 380,Diesel 2-Stroke,,,1995,11169,IFO 380,,,,,,N,6S60MC6,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.17,32.25,MAN Energy Solutions,South Korea,Greece,1095,Bulkers,32.5
Angelic Power,Bulk Carrier,40597,74759,2002,225,In Service,Diamlemos Shipping,Diamlemos Shipping,Diamlemos Shipping,Greece,,IFO 380,Diesel 2-Stroke,,,,11300,IFO 380,,,,,20.4,N,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.5,14.27,32.26,MAN Energy Solutions,China P.R.,Greece,H1286A,Bulkers,34.5
Angelic Glory,Bulk Carrier,40597,75007,2002,225,In Service,Diamlemos Shipping,Diamlemos Shipping,Diamlemos Shipping,Greece,,IFO 380,Diesel 2-Stroke,,,,11300,,,14.5,,,,N,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.5,14.25,32.26,MAN Energy Solutions,China P.R.,Greece,H1290A,Bulkers,
Aquaman,Bulk Carrier,40570,75247,2001,225,In Service,Ocean Best Shpg,Ocean Best Shpg,Ocean Best Shpg,Bahamas,,IFO 180,Diesel 2-Stroke,,,,11172,,,,,,,N,6S60MC6,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.15,32.25,MAN Energy Solutions,South Korea,Hong Kong,1116,Bulkers,35
Effie,Bulk Carrier,40570,75319,2001,225,In Service,Sunrising Intl,Hong Sheng Da,Sunrising Intl,Panama,,IFO 180,Diesel 2-Stroke,,,2235,11172,IFO 380,,,,,,N,6S60MC6,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.15,32.25,MAN Energy Solutions,South Korea,Hong Kong,1117,Bulkers,35
Bei Lun Hai 17,Bulk Carrier,40562,74716,2000,225,In Service,Ningbo Longsheng Sh.,Ningbo Longsheng Sh.,Ningbo Longsheng Sh.,China P.R.,,IFO 380,Diesel 2-Stroke,,,,11300,IFO 380,,,,,20.5,N,5S60MC-C6,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,15,14.25,32.26,MAN Energy Solutions,China P.R.,China P.R.,H1270A,Bulkers,34
Topeka,Bulk Carrier,40562,74716,2000,225,In Service,Cardiff Marine,Cardiff Marine,Cardiff Marine,Malta,,IFO 380,Diesel 2-Stroke,,,,11300,IFO 380,,,,,20.5,N,5S60MC-C6,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.25,32.26,MAN Energy Solutions,China P.R.,Greece,H1269A,Bulkers,34
Tycoon,Bulk Carrier,40562,74717,2000,225,In Service,Delek Transport,Delek Transport,Delek Transport,Liberia,,IFO 380,Diesel 2-Stroke,,,,8900,IFO 380,,,,,,N,6S50MC-C Mk5,S50,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.26,32.26,MAN Energy Solutions,China P.R.,Greece,H1279A,Bulkers,31
Xie Hai Teng Fei,Bulk Carrier,40562,74716,2001,225,In Service,Zhejiang Xiehai Shpg,Zhejiang Xiehai Shpg,Zhejiang Xiehai Shpg,China P.R.,,IFO 380,Diesel 2-Stroke,,,,11300,IFO 380,,,,,,N,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.25,32.26,MAN Energy Solutions,China P.R.,China P.R.,H1275A,Bulkers,34
Dias,Bulk Carrier,40562,74716,2001,225,In Service,Delek Transport,Delek Transport,Delek Transport,Liberia,,IFO 380,Diesel 2-Stroke,,,,11300,IFO 380,,,,,,N,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.25,32.26,MAN Energy Solutions,China P.R.,Greece,H1278A,Bulkers,34
Three Stars,Bulk Carrier,40524,74759,2005,225,In Service,Irika Shipping,Irika Shipping,Irika Shipping,Panama,,IFO 180,Diesel 2-Stroke,,,1845,11300,IFO 380,,,,,,N,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.5,14.25,32.26,MAN Energy Solutions,China P.R.,Greece,H1335A,Bulkers,35.4
Cerafina,Bulk Carrier,40524,74759,2005,225,In Service,Hadley Shipping,Hadley Shipping,Hadley Shipping,Marshall Is.,,IFO 180,Diesel 2-Stroke,,,1845,11292,IFO 380,,,,,,N,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,13.5,14.25,32.26,MAN Energy Solutions,China P.R.,United Kingdom,H1336A,Bulkers,33
APJ Mahadeva,Bulk Carrier,40523,74677,2000,225,In Service,Apeejay Shipping,Apeejay Shipping,Apeejay Shipping,India,,IFO 380,Diesel 2-Stroke,,,,11300,IFO 380,,,,,,N,5S60MC-C6,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.27,32.26,MAN Energy Solutions,China P.R.,India,H1273A,Bulkers,34
Seapower I,Bulk Carrier,40523,74665,2001,225,In Service,SPSC Ltd,SPSC Ltd,SPSC Ltd,Malta,,IFO 380,Diesel 2-Stroke,,,,11300,IFO 380,,,,,,N,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.27,32.26,MAN Energy Solutions,China P.R.,Malta,H1274A,Bulkers,32.3
Rosalia d'Amato,Bulk Carrier,40494,74716,2001,225,In Service,Perseveranza di Nav,Perseveranza di Nav,Perseveranza di Nav,Italy,,IFO 180,Diesel 2-Stroke,,,,11300,IFO 380,,,,,,N,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.25,32.26,MAN Energy Solutions,China P.R.,Italy,H1276A,Bulkers,34
KG Asia,Bulk Carrier,40494,74732,1999,225,In Service,KG Maritime,KG Maritime,KG Maritime,Marshall Is.,,IFO 180,Diesel 2-Stroke,,,,6612,IFO 380,,,,,,N,5S60MC6,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.27,32.26,MAN Energy Solutions,China P.R.,South Korea,H1259A,Bulkers,32
Zhong Liang Hua Nan,Bulk Carrier,40494,74786,2001,225,In Service,Xinliang Shipping,COFCO,Xinliang Shipping,China P.R.,,IFO 380,Diesel 2-Stroke,,,,8532,IFO 380,,,,,,N,5S60MC6.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,13.5,14.25,32.26,MAN Energy Solutions,China P.R.,China P.R.,H1284A,Bulkers,34.5
Iolcos Unity,Bulk Carrier,40494,74476,2006,225,In Service,Iolcos Hellenic,Iolcos Hellenic,Iolcos Hellenic,Malta,,IFO 180,Diesel 2-Stroke,,,2400,11300,IFO 380,,,,,,N,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.5,14.25,32.26,MAN Energy Solutions,China P.R.,Greece,H1339A,Bulkers,35.4
Evangelia Petrakis,Bulk Carrier,40494,74476,2007,225,In Service,Iolcos Hellenic,Iolcos Hellenic,Iolcos Hellenic,Malta,,IFO 180,Diesel 2-Stroke,,,2400,11300,IFO 380,,,,,,N,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.5,14.25,32.26,MAN Energy Solutions,China P.R.,Greece,H1340A,Bulkers,35.4
Navios Altair I,Bulk Carrier,40494,74475,2006,225,In Service,Navios MLP,Navios Holdings,Navios MLP,Liberia,,IFO 180,Diesel 2-Stroke,,,1722,8990,IFO 380,,,,,,N,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,13,14.26,32.26,MAN Energy Solutions,China P.R.,Greece,H1338A,Bulkers,33
Minoan Glory,Bulk Carrier,40492,74748,2006,225,In Service,Modion Maritime SA,Modion Maritime SA,Modion Maritime SA,Liberia,,IFO 180,Diesel 2-Stroke,,,,8986,,,14,,,,N,5S60MC6.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,13.75,14.27,32.26,MAN Energy Solutions,China P.R.,Greece,H1386A,Bulkers,32
Phoenix Bay,Bulk Carrier,40489,74759,2006,225,In Service,Smart-Trans Shpg,Smart-Trans Shpg,Smart-Trans Shpg,Singapore,,IFO 380,Diesel 2-Stroke,,,1845,8550,IFO 380,,14,,,,N,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,13.75,14.25,32.26,MAN Energy Solutions,China P.R.,China P.R.,H1369A,Bulkers,31
Aurilia,Bulk Carrier,40488,74414,2007,225,In Service,Visentini Giovanni,Visentini Giovanni,Visentini Giovanni,Malta,,IFO 180,Diesel 2-Stroke,,,,11292,IFO 380,,,,,,N,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.5,14.26,32.26,MAN Energy Solutions,China P.R.,Italy,H1347A,Bulkers,35.4
The Living,Bulk Carrier,40488,74405,2007,225,In Service,SNP Shipping Service,SNP Shipping Service,SNP Shipping Service,Panama,,IFO 180,Diesel 2-Stroke,,,1830,8990,IFO 380,,,,,24,N,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.25,32.26,MAN Energy Solutions,China P.R.,India,H1344A,Bulkers,35
Vitahorizon,Bulk Carrier,40488,74408,2007,225,In Service,Vita Management SA,Vita Management SA,Vita Management SA,Liberia,,IFO 180,Diesel 2-Stroke,,,2400,11300,IFO 380,,,,,24,N,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.5,14.25,32.26,MAN Energy Solutions,China P.R.,Greece,H1343A,Bulkers,35.4
Catalina,Bulk Carrier,40485,74432,2005,225,In Service,Dryships,Dryships,Dryships,Malta,Pending,IFO 380,Diesel 2-Stroke,,,,11300,IFO 380,,14,,,,N,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.25,32.26,MAN Energy Solutions,China P.R.,Greece,H1306A,Bulkers,
Underdog,Bulk Carrier,40485,74444,2006,225,In Service,Kassian Maritime,Kassian Maritime,Kassian Maritime,Marshall Is.,,IFO 180,Diesel 2-Stroke,,,,8990,,,14,,,36.5,N,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.27,32.26,MAN Energy Solutions,China P.R.,Greece,H1390A,Bulkers,35
Nan Xin 27,Bulk Carrier,40485,74483,2006,225,In Service,Zhejiang Nanxin,Zhejiang Nanxin,Zhejiang Nanxin,Marshall Is.,,IFO 180,Diesel 2-Stroke,,,2400,11300,,,,,,36.5,N,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.27,32.26,MAN Energy Solutions,China P.R.,China P.R.,H1389A,Bulkers,31
Navios Symmetry,Bulk Carrier,40485,74477,2006,225,In Service,Navios MLP,Navios Holdings,Navios MLP,Liberia,,IFO 180,Diesel 2-Stroke,,,1830,8990,IFO 380,,,,,,N,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,13,14.25,32.26,MAN Energy Solutions,China P.R.,Greece,H1337A,Bulkers,33
Yuan Hui Hai,Bulk Carrier,40473,74259,2006,225,In Service,COSCO Shipping Bulk,China COSCO Shipping,COSCO Shipping Bulk,China P.R.,,IFO 180,Diesel 2-Stroke,,,,11300,IFO 380,,,,,,N,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,13.8,14.26,32.26,MAN Energy Solutions,China P.R.,China P.R.,H1342A,Bulkers,35.4
Yuan Zhi Hai,Bulk Carrier,40473,74272,2005,225,In Service,COSCO Shipping Bulk,China COSCO Shipping,COSCO Shipping Bulk,China P.R.,,IFO 180,Diesel 2-Stroke,,,,11300,IFO 380,,,,,,N,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.5,14.25,32.26,MAN Energy Solutions,China P.R.,China P.R.,H1341A,Bulkers,35.4
Samatan,Bulk Carrier,40437,74823,2001,225,In Service,Cardiff Marine,Cardiff Marine,Baumarine AS,Malta,,IFO 180,Diesel 2-Stroke,,,,10223,IFO 380,,14,,,,N,5S60MC6.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.5,14.25,32.26,MAN Energy Solutions,China P.R.,Greece,H1282A,Bulkers,34.5
Zhong Meng Hang Lian,Bulk Carrier,40437,74816,2001,225,In Service,Ningbo ZMHL,Ningbo ZMHL,Ningbo ZMHL,China P.R.,,IFO 380,Diesel 2-Stroke,,,,8549,IFO 380,,,,,21,N,5S60MC6.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.5,14.27,32.26,MAN Energy Solutions,China P.R.,China P.R.,H1287A,Bulkers,34
Wan Ming Fu Qiang,Bulk Carrier,40437,74832,2002,225,In Service,Wanming Shipping,Wanming Shipping,Wanming Shipping,China P.R.,,IFO 380,Diesel 2-Stroke,,,,8549,,,,,,21,N,5S60MC6.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14,14.27,32.26,MAN Energy Solutions,China P.R.,China P.R.,H1288A,Bulkers,32.5
Bellatrix,Bulk Carrier,40424,77053,2006,225,In Service,Orion Reederei,Orion Reederei,Orion Reederei,Liberia,,IFO 180,Diesel 2-Stroke,,,1335,9319,IFO 380,,,,,,N,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.5,14.19,32.26,MAN Energy Solutions,Japan,Germany,10416,Bulkers,35.5
Clara,Bulk Carrier,40424,77073,2006,225,In Service,"Blumenthal, Johann","Blumenthal, Johann","Blumenthal, Johann",United Kingdom,,IFO 180,Diesel 2-Stroke,,,890,9319,IFO 380,,,,,,N,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.5,14.19,32.26,MAN Energy Solutions,Japan,Germany,10417,Bulkers,30
Christina B,Bulk Carrier,40424,77053,2007,225,In Service,"Blumenthal, Johann","Blumenthal, Johann","Blumenthal, Johann",Liberia,,IFO 180,Diesel 2-Stroke,,,890,9318,IFO 380,,,,,,N,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.5,14.19,32.26,MAN Energy Solutions,Japan,Germany,10442,Bulkers,35.5
Beteigeuze,Bulk Carrier,40424,77089,2007,225,In Service,Orion Reederei,Orion Reederei,Orion Reederei,Liberia,,IFO 180,Diesel 2-Stroke,,,890,9319,IFO 380,,,,,,N,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.5,14.19,32.26,MAN Energy Solutions,Japan,Germany,10443,Bulkers,35.5
Ocean Pegasus,Chip Carrier,40399,49724,2008,199.99,In Service,Hachiuma Steamship,Nippon Yusen Kaisha,Hachiuma Steamship,Marshall Is.,Pending,IFO 380,Diesel 2-Stroke,,,2235,7980,IFO 380,,,,,,N,6UEC52LS,UEC52,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,Mitsubishi,14,11.53,32.2,Mitsubishi HI,Japan,Japan,5438,Bulkers,
Uni Rich,Chip Carrier,40360,49923,2001,199.95,In Service,Uni-Asia Shpg (HK),Uni-Asia Holding,Uni-Asia Shpg (HK),Panama,,IFO 380,Diesel 2-Stroke,,,,7546,IFO 380,,,,,,N,6UEC52LS,UEC52,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,Mitsubishi,14,11.5,32.2,Mitsubishi HI,Japan,Hong Kong,5095,Bulkers,
Alizay 2,Chip Carrier,40360,49917,2002,199.95,In Service,National Power,National Power,National Power,Panama,,IFO 380,Diesel 2-Stroke,,,,7545,IFO 380,,,,,,N,6UEC52LS,UEC52,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,Mitsubishi,14,11.5,32.2,Mitsubishi HI,Japan,Thailand,5135,Bulkers,
FP Future,Chip Carrier,40360,49957,2002,199.95,In Service,K-Line,K-Line,K-Line,Panama,,IFO 380,Diesel 2-Stroke,,,,7546,IFO 380,,,,,,N,6UEC52LS,UEC52,Diesel 2-Stroke,"Handymax Bulkers 40-64,999 dwt",,Mitsubishi,14,11.5,32.2,Mitsubishi HI,Japan,Japan,5145,Bulkers,
Lemessos Lion,Bulk Carrier,40354,74933,2012,225,In Service,Safety Management,Safety Management,Safety Management,Cyprus,,IFO 380,Diesel 2-Stroke,,,1470,8700,IFO 380,,,,,,N,7S50MC-C8.2,S50,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,15.7,14.22,32.2,MAN Energy Solutions,Japan,Greece,806,Bulkers,
Sunny Putney,Bulk Carrier,40350,74940,2013,225,In Service,Noma Kaiun KK,Noma Kaiun KK,Noma Kaiun KK,Singapore,,IFO 380,Diesel 2-Stroke,,,1470,8700,IFO 380,,,,,,N,7S50MC-C8.2,S50,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.5,14.22,32.2,MAN Energy Solutions,Japan,Japan,809,Bulkers,
