Name,Type,GT,Dwt,Built,LOA (m),Status,Owner,Group Owner,Operator,Flag State,SOx Scrubber Status,Main Engine Fuel Type,Power Type,Total Installed Diesel Cap. (kW),TEU,Auxiliary Engine 1 (mkW),Main Engine 1 (mkW),Main Bunker Fuel Type,Ancillary Engine Fuel Type,Design Speed,Main Consumption at Design Speed (tpd),Ice Class Equivalent (Fi-Sw),Price_NB,Ice Class (Ind),Main Engine Model,Main Engine Model Series,Power Type,SFC Vessel Types,OFC Vessel Types,Main Engine Model Designer,Speed (knots),Draught (m),Beam (m),Main Engine Model Designer group,Builder Country/Region,Owner Nationality/Region,Hull No,Fleet Type,Consumption (tpd)
Shandong Da Ren,Ore Carrier,198980,402285,2012,362,In Service,BoCom Leasing,BoCom,Shandong Shipping,Hong Kong,Pending,IFO 380,Diesel 2-Stroke,,,3600,29260,,,,,,115,N,7S80ME-C8.2,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.4,23,65,MAN Energy Solutions,South Korea,China P.R.,1204,Bulkers,
Shandong Da Zhi,Ore Carrier,198980,400000,2012,362,In Service,BoCom Leasing,BoCom,Shandong Shipping,Hong Kong,Fitted,IFO 380,Diesel 2-Stroke,,,3600,29260,,,,,,,N,7S80ME-C8.2,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,,23,65,MAN Energy Solutions,South Korea,China P.R.,1213,Bulkers,
Ore Korea,Ore Carrier,198980,402303,2013,362,In Service,VLOC Holding,ICBC,,Hong Kong,Fitted,IFO 380,Diesel 2-Stroke,,,3600,29260,,,,,,,N,7S80ME-C8.2,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,,23,65,MAN Energy Solutions,South Korea,China P.R.,1214,Bulkers,
Berge Everest,Ore Carrier,195199,388133,2011,360.97,In Service,Berge Bulk,Berge Bulk,Berge Bulk,Isle of Man,Fitted,IFO 380,Diesel 2-Stroke,,,3420,24990,,,,,,108,N,7RT-flex84T-D,flex84T,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,Wartsila 2-stroke,14.8,23,65,CSSC,China P.R.,Bermuda,BH416-1,Bulkers,98.19
Berge Aconcagua,Ore Carrier,195199,388133,2012,360.97,In Service,Berge Bulk,Berge Bulk,Berge Bulk,Isle of Man,Fitted,IFO 380,Diesel 2-Stroke,,,3420,29400,,,,,,108,N,7RT-flex84T-D,flex84T,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,Wartsila 2-stroke,14.8,23,65,CSSC,China P.R.,Bermuda,BH416-2,Bulkers,
Berge Neblina,Ore Carrier,195199,388079,2013,360.92,In Service,Berge Bulk,Berge Bulk,Berge Bulk,Isle of Man,Fitted,IFO 380,Diesel 2-Stroke,,,3420,29400,,,,,,108,N,7RT-flex84T-D,flex84T,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,Wartsila 2-stroke,14.8,23,65,CSSC,China P.R.,Bermuda,BH416-4,Bulkers,
Berge Jaya,Ore Carrier,195199,388133,2012,360.92,In Service,Berge Bulk,Berge Bulk,Berge Bulk,Isle of Man,Fitted,IFO 380,Diesel 2-Stroke,,,3420,29400,,,,,,108,N,7RT-flex84T-D,flex84T,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,Wartsila 2-stroke,14.8,23,65,CSSC,China P.R.,Bermuda,BH416-3,Bulkers,
Berge Stahl,Ore Carrier,175720,364768,1986,342,In Service,Berge Bulk,Berge Bulk,Berge Bulk,Isle of Man,,IFO 380,Diesel 2-Stroke,,,,20307,IFO 380,,,,,,N,7L90MC-E Mk1,L90,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,13.5,23,63.5,MAN Energy Solutions,South Korea,Bermuda,416,Bulkers,67
Stellar Neptune,Ore Carrier,164325,242692,1993,332.5,In Service,Polaris Shipping,Polaris Shipping,Polaris Shipping,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,,20594,IFO 380,,,,,,N,7UEC85LSII,UEC85,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,Mitsubishi,15,21.92,58,Mitsubishi HI,China P.R.,South Korea,2064,Bulkers,80
Stellar Liberty,Ore Carrier,164325,291435,1993,332.5,In Service,Polaris Shipping,Polaris Shipping,Polaris Shipping,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,,20594,IFO 380,,,,,,N,7UEC85LSII,UEC85,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,Mitsubishi,15,21.6,58,Mitsubishi HI,China P.R.,South Korea,2065,Bulkers,80
Stellar Samba,Ore Carrier,164325,291435,1994,332.5,In Service,Polaris Shipping,Polaris Shipping,Polaris Shipping,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,,20594,IFO 380,,,,,,N,7UEC85LSII,UEC85,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,Mitsubishi,15,21.62,58,Mitsubishi HI,China P.R.,South Korea,2066,Bulkers,80
Stellar Ocean,Ore Carrier,162393,305668,1994,331.5,In Service,Polaris Shipping,Polaris Shipping,Polaris Shipping,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,,20230,IFO 380,,,,,,N,7RTA84M,RTA84,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,Sulzer,14.25,22.14,58,Sulzer,China P.R.,South Korea,137,Bulkers,71
Stellar Queen,Ore Carrier,162393,305846,1994,331.5,In Service,Polaris Shipping,Polaris Shipping,Polaris Shipping,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,,20226,IFO 380,,,,,,N,7RTA84M,RTA84,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,Sulzer,14.25,22.14,58,Sulzer,China P.R.,South Korea,138,Bulkers,71
Stellar Hermes,Ore Carrier,160890,295520,1994,332.09,In Service,Polaris Shipping,Polaris Shipping,Polaris Shipping,Panama,,IFO 380,Diesel 2-Stroke,,,,25487,IFO 380,,,,,,N,7S80MC Mk4,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.6,22.23,58,MAN Energy Solutions,China P.R.,South Korea,842,Bulkers,85.7
Brasil Maru,Ore Carrier,160774,327180,2007,340,In Service,Mitsui OSK Lines,Mitsui OSK Lines,,Panama,Fitted,IFO 380,Diesel 2-Stroke,,,3120,23640,,,,,,,N,7S80MC-C6.1,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,17.3,21,60,MAN Energy Solutions,Japan,Japan,1660,Bulkers,
Tubarao Maru,Ore Carrier,160774,327127,2008,340,In Service,Doun Kisen,Doun Kisen,Mitsui OSK Lines,Panama,Fitted,IFO 380,Diesel 2-Stroke,,,3120,23640,,,,,,,N,7S80MC-C6.1,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,17.5,21,60,MAN Energy Solutions,Japan,Japan,1668,Bulkers,
Global Harmony,Ore Carrier,160774,327095,2009,340,In Service,Mitsui OSK Lines,Mitsui OSK Lines,,Panama,Fitted,IFO 380,Diesel 2-Stroke,,,3120,23640,,,,,,,N,7S80MC-C6.1,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,17.5,21,60,MAN Energy Solutions,Japan,Japan,1683,Bulkers,
Stellar Rio,Ore Carrier,160666,298445,1994,332,In Service,Polaris Shipping,Polaris Shipping,Polaris Shipping,Marshall Is.,,IFO 380,Diesel 2-Stroke,,0,,25487,IFO 380,,,,,,N,7S80MC Mk4,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.6,22.22,58,MAN Energy Solutions,China P.R.,South Korea,843,Bulkers,85.7
Stellar Knight,Ore Carrier,160666,301389,1995,332,In Service,Polaris Shipping,Polaris Shipping,Polaris Shipping,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,,23450,IFO 380,,,,,,N,7S80MC Mk4,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.3,22.2,58,MAN Energy Solutions,Unknown,South Korea,825,Bulkers,84
Stellar Magic,Ore Carrier,160666,298338,1994,332,In Service,Polaris Shipping,Polaris Shipping,Polaris Shipping,Marshall Is.,,IFO 380,Diesel 2-Stroke,,0,,23461,IFO 380,,,,,,N,7S80MC Mk4,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.6,22.24,58,MAN Energy Solutions,Unknown,South Korea,841,Bulkers,85.7
Stellar Pioneer,Ore Carrier,160666,298624,1994,332,In Service,Polaris Shipping,Polaris Shipping,Polaris Shipping,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,,23461,IFO 380,,,,,,N,7S80MC Mk4,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.3,22.22,58,MAN Energy Solutions,Unknown,South Korea,823,Bulkers,84
Stellar Topaz,Ore Carrier,160454,298468,1994,332,In Service,Polaris Shipping,Polaris Shipping,Polaris Shipping,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,,25487,IFO 380,,,,,,N,7S80MC Mk4,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,15.3,22.2,58,MAN Energy Solutions,Unknown,South Korea,824,Bulkers,84
