Name,Type,GT,Dwt,Built,LOA (m),Status,Owner,Group Owner,Operator,Flag State,SOx Scrubber Status,Main Engine Fuel Type,Power Type,Total Installed Diesel Cap. (kW),TEU,Auxiliary Engine 1 (mkW),Main Engine 1 (mkW),Main Bunker Fuel Type,Ancillary Engine Fuel Type,Design Speed,Main Consumption at Design Speed (tpd),Ice Class Equivalent (Fi-Sw),Ice_class_level,Price_NB,Ice Class (Ind),Main Engine Model,Main Engine Model Series,Power Type,SFC Vessel Types,OFC Vessel Types,Main Engine Model Designer,Speed (knots),Draught (m),Beam (m),Main Engine Model Designer group,Builder Country/Region,Owner Nationality/Region,Hull No,Fleet Type,Consumption (tpd)
Diyala,Tanker,161960,320596,2019,332.98,In Service,Thenamaris,Thenamaris,Al-Iraqia Shipping,Marshall Is.,Fitted,IFO 380,Diesel 2-Stroke,,,,26890,IFO 380,,,,,0,,N,7G80ME-C9.5,G80,Diesel 2-Stroke,"UL/VLCC 200,000+ dwt",,MAN B. & W.,15,21.62,60,MAN Energy Solutions,South Korea,Greece,2231,Crude Tankers,
Amphion,Tanker,161983,298998,2019,332.98,In Service,Capital Ship Mgmt,Capital Maritime,Capital Ship Mgmt,Liberia,Pending,IFO 380,Diesel 2-Stroke,,,4620,32970,IFO 380,,,,,0,,N,7G80ME-C9.5,G80,Diesel 2-Stroke,"UL/VLCC 200,000+ dwt",,MAN B. & W.,13,21.61,60,MAN Energy Solutions,South Korea,Greece,2225,Crude Tankers,
Anbar,Tanker,161983,298998,2019,332.98,In Service,Capital Ship Mgmt,Capital Maritime,Al-Iraqia Shipping,Liberia,Pending,IFO 380,Diesel 2-Stroke,,,4620,32970,IFO 380,,,,,0,,N,7G80ME-C9.5,G80,Diesel 2-Stroke,"UL/VLCC 200,000+ dwt",,MAN B. & W.,13,21.61,60,MAN Energy Solutions,South Korea,Greece,2227,Crude Tankers,
Front Defender,Tanker,154007,298952,2019,330,In Service,Frontline,Fredriksen Group,Frontline,Marshall Is.,Fitted,IFO 380,Diesel 2-Stroke,,,5940,33250,IFO 380,,,,,0,,N,7X82,X82,Diesel 2-Stroke,"UL/VLCC 200,000+ dwt",,WinGD,15.25,21.72,60,CSSC,South Korea,Norway,S957,Crude Tankers,
Eco Palm Desert,Chemical & Oil Carrier,29463,49703,2018,183.06,In Service,Top Ships,Top Ships,Clearlake Shpg,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,3960,7180,IFO 380,,,,,0,,N,6G50ME-B9.5,G50,Diesel 2-Stroke,"Handy Products Tankers 10-54,999 dwt",,MAN B. & W.,14.5,13.32,32.2,MAN Energy Solutions,Vietnam,Greece,2648,Product Tankers,
KHK Empress,Tanker,160682,314404,2019,333,In Service,Tai Chong Cheang,Tai Chong Cheang,BP Shipping,Singapore,Fitted,IFO 380,Diesel 2-Stroke,,,3675,32970,IFO 380,,,,,0,,N,7G80ME-C9.5,G80,Diesel 2-Stroke,"UL/VLCC 200,000+ dwt",,MAN B. & W.,13.5,22.36,60,MAN Energy Solutions,South Korea,Hong Kong,2972,Crude Tankers,
Thames,Chemical & Oil Carrier,29300,49999,2018,183.06,In Service,Union Maritime Ltd,Union Maritime Ltd,Mansel Oil Asia,Liberia,Fitted,IFO 380,Diesel 2-Stroke,,,4110,7180,IFO 380,,,,,0,,N,6G50ME-C9.5,G50,Diesel 2-Stroke,"Handy Products Tankers 10-54,999 dwt",,MAN B. & W.,14.5,13.23,32.2,MAN Energy Solutions,South Korea,United Kingdom,2629,Product Tankers,
Avon,Chemical & Oil Carrier,29528,49999,2019,183.06,In Service,Union Maritime Ltd,Union Maritime Ltd,Mansel Oil Asia,Liberia,Fitted,IFO 380,Diesel 2-Stroke,,,4110,7180,IFO 380,,,,,0,,N,6G50ME-C9.5,G50,Diesel 2-Stroke,"Handy Products Tankers 10-54,999 dwt",,MAN B. & W.,13.5,13.21,32.2,MAN Energy Solutions,South Korea,United Kingdom,2636,Product Tankers,
Golden Leader,Chem Parcel Tanker,7243,12495,2017,124,In Service,Dorval SC,Junzheng Energy,Dorval SC,Panama,Pending,,Diesel 2-Stroke,,,1217,3900,,,,,,0,,N,6L35MC6.1,L35,Diesel 2-Stroke,"Chemical Tankers 10,000+ dwt",,MAN B. & W.,14.3,8.77,20,MAN Energy Solutions,Japan,China P.R.,443,Chemical Tankers,
Marlin Suez,Tanker,82305,149999,2019,275,In Service,BoCom Leasing,BoCom,Trafigura Maritime,Singapore,Fitted,IFO 380,Diesel 2-Stroke,,,4620,16330,IFO 380,,,,,0,,N,6G70ME-C9.5,G70,Diesel 2-Stroke,"Suezmax 125-199,999 dwt",,MAN B. & W.,15,16.56,48,MAN Energy Solutions,South Korea,China P.R.,2977,Crude Tankers,
Marlin Seoul,Tanker,80305,149999,2019,275,In Service,BoCom Leasing,BoCom,Trafigura Maritime,Singapore,Fitted,IFO 380,Diesel 2-Stroke,,,4620,16330,IFO 380,,,,,0,,N,6G70ME-C9.5,G70,Diesel 2-Stroke,"Suezmax 125-199,999 dwt",,MAN B. & W.,,16.56,48,MAN Energy Solutions,South Korea,China P.R.,2979,Crude Tankers,
Marlin Siena,Tanker,82305,149999,2019,275,In Service,BoCom Leasing,BoCom,Trafigura Maritime,Singapore,Fitted,IFO 380,Diesel 2-Stroke,,,4620,16330,,,14.5,,,0,,N,6G70ME-C9.5,G70,Diesel 2-Stroke,"Suezmax 125-199,999 dwt",,MAN B. & W.,14.9,16.56,48,MAN Energy Solutions,South Korea,China P.R.,S965,Crude Tankers,
Marlin Silkeborg,Tanker,80305,149999,2019,275,In Service,BoCom Leasing,BoCom,Trafigura Maritime,Singapore,Fitted,IFO 380,Diesel 2-Stroke,,,4320,16330,,,14.5,,,0,,N,6G70ME-C9.5,G70,Diesel 2-Stroke,"Suezmax 125-199,999 dwt",,MAN B. & W.,14.5,16.56,48,MAN Energy Solutions,South Korea,China P.R.,S967,Crude Tankers,
Marlin Lily,Product Carrier,63338,109994,2019,249.9,In Service,Scorpio Tankers,Scorpio Group,Scorpio Tankers,Singapore,Fitted,IFO 380,Diesel 2-Stroke,,,4110,11850,IFO 380,,14.6,,,0,,N,6G60ME-C9.5,G60,Diesel 2-Stroke,"Aframax Products 85-124,999 dwt",,MAN B. & W.,14.5,14.93,44,MAN Energy Solutions,China P.R.,Italy,311119,Product Tankers,
Marlin Magic,Chemical & Oil Carrier,29991,47499,2019,183.07,In Service,Scorpio Tankers,Scorpio Group,Scorpio Tankers,Singapore,Fitted,IFO 380,Diesel 2-Stroke,,,3150,7180,IFO 380,,14.45,,,0,,N,6G50ME-C9.5,G50,Diesel 2-Stroke,"Handy Products Tankers 10-54,999 dwt",,MAN B. & W.,14,12.81,32.2,MAN Energy Solutions,Vietnam,Italy,S447,Product Tankers,
Marlin Mystery,Chemical & Oil Carrier,29991,47499,2019,183.07,In Service,Scorpio Tankers,Scorpio Group,Scorpio Tankers,Singapore,Fitted,IFO 380,Diesel 2-Stroke,,,3150,7180,IFO 380,,14.45,,,0,,N,6G50ME-C9.5,G50,Diesel 2-Stroke,"Handy Products Tankers 10-54,999 dwt",,MAN B. & W.,14,12.81,32.2,MAN Energy Solutions,Vietnam,Italy,S449,Product Tankers,
