Name,Type,GT,Dwt,Built,LOA (m),Status,Owner,Group Owner,Operator,Flag State,SOx Scrubber Status,Main Engine Fuel Type,Power Type,Total Installed Diesel Cap. (kW),TEU,Auxiliary Engine 1 (mkW),Main Engine 1 (mkW),Main Bunker Fuel Type,Ancillary Engine Fuel Type,Design Speed,Main Consumption at Design Speed (tpd),Ice Class Equivalent (Fi-Sw),Ice_class_level,Price_NB,Ice Class (Ind),Main Engine Model,Main Engine Model Series,Power Type,SFC Vessel Types,OFC Vessel Types,Main Engine Model Designer,Speed (knots),Draught (m),Beam (m),Main Engine Model Designer group,Builder Country/Region,Owner Nationality/Region,Hull No,Fleet Type,Consumption (tpd)
Oratuulia,Chemical Bulk Tanker,3957,6089,2008,107.34,In Service,Simonsen Tankers,Simonsen Tankers,Simonsen Tankers,Gibraltar,,IFO 180,Diesel 4-Stroke,,,1170,2610,Unspec,,,,ID,2,,Y,9H25/33P,25/33,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,HHI-EMD (HiMSEN),14,6.58,15.8,Hyundai HI Group,Turkey,Denmark,94,Chemical Tankers,
FT Albaro,Chem Parcel Tanker,3957,6089,2009,107.34,In Service,Petrolifera Tankers,Furtrans Denizcilik,Petrolifera Tankers,Italy,,IFO 180,Diesel 4-Stroke,,,1170,2608,Unspec,,,,ID,2,,Y,9H25/33,25/33,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,HHI-EMD (HiMSEN),14,6.58,15.8,Hyundai HI Group,Turkey,Turkey,95,Chemical Tankers,
MRC Hatice Ana,Chem Parcel Tanker,3999,6138,2010,107.34,In Service,MRC Shipping,MRC Shipping,MRC Shipping,Malta,,IFO 180,Diesel 4-Stroke,,,1170,3000,,,,,ID,2,,Y,9M25C,M25,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,12.5,6.58,15.8,Caterpillar,Turkey,Turkey,62,Chemical Tankers,
Bliss,Product Carrier,2957,4700,2008,99.86,In Service,Yujin Holdings,Yujin Holdings,Yujin Holdings,Singapore,,,Diesel 4-Stroke,,,930,1911,Unspec,,,,ID,2,,Y,6DKM-28,DKM,Diesel 4-Stroke,"Small Product Tankers 2-9,999 dwt",,Daihatsu,12,6.2,15.2,Daihatsu,China P.R.,Singapore,YH0601,Product Tankers,
San Bacco,Asphalt & Bitumen Carrier,4711,4916,2016,108,In Service,Suisse-Outremer,Suisse-Outremer,Suisse-Outremer,Malta,,IFO 380,Diesel 4-Stroke,,,1455,3000,IFO 380,,,,ID,2,,Y,6L32,32,Diesel 4-Stroke,"Small Product Tankers 2-9,999 dwt",,Wartsila 4-stroke,13,6,17.2,Wartsila,China P.R.,Switzerland,AD0022,Product Tankers,10.5
San Benedetto II,Asphalt & Bitumen Carrier,4703,4995,2016,108,In Service,Suisse-Outremer,Suisse-Outremer,ABC Maritime,Malta,,IFO 380,Diesel 4-Stroke,,,1455,3000,IFO 380,,,,ID,2,,Y,6L32,32,Diesel 4-Stroke,"Small Product Tankers 2-9,999 dwt",,Wartsila 4-stroke,12,6,17.2,Wartsila,China P.R.,Switzerland,AD0055,Product Tankers,8.12
Mekongtrans 02,Chemical Unknown Carrier,3941,5433,2008,111.3,In Service,Mekongtrans,PetroVietnam,Mekongtrans,Vietnam,,IFO 380,Diesel 4-Stroke,,,1209,2574,,,,,ID,2,,Y,6N330-EN,N330,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,Yanmar,12,6.2,16.8,Yanmar,China P.R.,Vietnam,HUA 3,Chemical Tankers,10
Aleyna Mercan,Chem Parcel Tanker,2897,4037,2005,95.5,In Service,MRC Shipping,MRC Shipping,MRC Shipping,Malta,,IFO 180,Diesel 4-Stroke,,,1545,1850,Unspec,,,,ID,2,,Y,6M25,M25,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,14,6.25,14.7,Caterpillar,Turkey,Turkey,9,Chemical Tankers,8.5
Brad Sun,Chemical Unknown Carrier,5128,7413,2011,139.9,In Service,Maritime Management,Maritime Management,Maritime Management,Belize,,IFO 380,Diesel 4-Stroke,,,1653,2400,,,,,ID,2,,Y,6L20C,20,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,Wartsila 4-stroke,10,4.65,16.7,Wartsila,China P.R.,United States,HCR0808,Chemical Tankers,
Paul A. Desgagnes,Chem Parcel Tanker,12061,14980,2018,135,In Service,Groupe Desgagnes,Groupe Desgagnes,Petro-Nav,Canada,,"IFO 380, LNG",Diesel 2-Stroke,,,3300,5450,,,,,Icebreaker,7,,Y,5RT-flex50DF,flex50,Diesel 2-Stroke,"Chemical Tankers 10,000+ dwt",,WinGD,13,7.9,23.5,CSSC,Turkey,Canada,62,Chemical Tankers,13.9
