Name,Type,GT,Dwt,Built,LOA (m),Status,Owner,Group Owner,Operator,Flag State,SOx Scrubber Status,Main Engine Fuel Type,Power Type,Total Installed Diesel Cap. (kW),TEU,Auxiliary Engine 1 (mkW),Main Engine 1 (mkW),Main Bunker Fuel Type,Ancillary Engine Fuel Type,Design Speed,Main Consumption at Design Speed (tpd),Ice Class Equivalent (Fi-Sw),Ice_class_level,Price_NB,Ice Class (Ind),Main Engine Model,Main Engine Model Series,Power Type,SFC Vessel Types,OFC Vessel Types,Main Engine Model Designer,Speed (knots),Draught (m),Beam (m),Main Engine Model Designer group,Builder Country/Region,Owner Nationality/Region,Hull No,Fleet Type,Consumption (tpd)
Asiatic Wind,Fully Cellular Container,9978,12477,2008,149.6,In Service,Asiatic Lloyd,Asiatic Lloyd,Caribbean Feeder,Singapore,,IFO 380,Diesel 2-Stroke,,1061,1980,11620,,,,,IC,3,,Y,7S50MC-C8.1,S50,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,19,7.8,22.7,MAN Energy Solutions,Turkey,Germany,146,Containerships,43.5
Caribbean Express,Fully Cellular Container,17850,24200,2007,182,In Service,Vroon BV,Vroon BV,X-Press Feeders,Gibraltar,,IFO 380,Diesel 4-Stroke,,1706,3420,12600,,,,,IC,3,52.6,Y,9L58/64CD,58/64,Diesel 4-Stroke,"Feeder 1-1,999 TEU",,MAN Energy Solutions,19.5,10,25.2,MAN Energy Solutions,Germany,Netherlands,131,Containerships,50
TC Symphony,Fully Cellular Container,9978,12500,2005,149,In Service,Tan Cang Logistics,Tan Cang Logistics,Bengal Tiger Line,Vietnam,,IFO 380,Diesel 2-Stroke,,1155,1980,11060,,,,,IC,3,,Y,7S50MC-C8.1,S50,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,19,7.8,22.7,MAN Energy Solutions,Turkey,Vietnam,133,Containerships,43.5
OEL Fortune,Fully Cellular Container,10308,12545,2005,148.53,In Service,Orient Express Lines,Transworld Group,Orient Express Lines,Panama,,IFO 380,Diesel 2-Stroke,,1155,1980,10500,IFO 380,,20.2,,IC,3,,Y,7S50MC-C8.1,S50,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,19,7.8,22.7,MAN Energy Solutions,Turkey,U.A.E.,134,Containerships,43.5
Asiatic King,Fully Cellular Container,9978,12500,2005,148.53,In Service,Asiatic Lloyd,Asiatic Lloyd,,Singapore,,IFO 380,Diesel 2-Stroke,,1155,1980,11060,IFO 380,,20.2,,IC,3,,Y,7S50MC-C8.1,S50,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,19,7.8,22.7,MAN Energy Solutions,Turkey,Germany,135,Containerships,43.5
OEL Progress,Fully Cellular Container,9978,12477,2006,148.53,In Service,Orient Express Lines,Transworld Group,Orient Express Lines,Panama,,IFO 380,Diesel 2-Stroke,,1155,,11060,IFO 380,,20.2,,IC,3,,Y,7S50MC-C8.1,S50,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,19,7.8,22.7,MAN Energy Solutions,Turkey,U.A.E.,136,Containerships,43.5
Asiatic Dawn,Fully Cellular Container,9978,12477,2006,149.6,In Service,Asiatic Lloyd,Asiatic Lloyd,Shreyas Shipping,Singapore,,IFO 380,Diesel 2-Stroke,,1061,1980,11060,IFO 380,,,,IC,3,,Y,7S50MC-C8.1,S50,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,18,7.8,22.7,MAN Energy Solutions,Turkey,Germany,137,Containerships,32
MTT Pengerang,Fully Cellular Container,9978,12477,2006,149.6,In Service,Asiatic Lloyd,Asiatic Lloyd,MTT Shipping,Malaysia,,IFO 380,Diesel 2-Stroke,,1061,1980,11060,IFO 380,,,,IC,3,,Y,7S50MC-C8.1,S50,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,19,7.8,22.7,MAN Energy Solutions,Turkey,Germany,138,Containerships,43.5
Martine A,Fully Cellular Container,10546,12184,1993,149,In Service,Arkas Shipping,Arkas Shipping,Arkas Line,Turkey,,IFO 380,Diesel 4-Stroke,,1139,2040,10000,Unspec,,,,IC,3,,Y,8M601C,M601,Diesel 4-Stroke,"Feeder 1-1,999 TEU",,MaK,18,8.55,23,Caterpillar,Denmark,Turkey,174,Containerships,40
Shira-E,Fully Cellular Container,3957,5388,1993,107.98,In Service,Haifa Marine Shpg,Haifa Marine Shpg,,Belize,,IFO 180,Diesel 4-Stroke,,448,,2099,Unspec,,,,IC,3,,Y,TBD645-9,645,Diesel 4-Stroke,"Feeder 100-1,000",,MWM,16,5.99,16.4,Caterpillar,Germany,Israel,171,Containerships,17.7
