Name,Type,GT,Dwt,Built,LOA (m),Status,Owner,Group Owner,Operator,Flag State,SOx Scrubber Status,Main Engine Fuel Type,Power Type,Total Installed Diesel Cap. (kW),TEU,Auxiliary Engine 1 (mkW),Main Engine 1 (mkW),Main Bunker Fuel Type,Ancillary Engine Fuel Type,Design Speed,Main Consumption at Design Speed (tpd),Ice Class Equivalent (Fi-Sw),Price (NB),Ice Class (Ind),Main Engine Model,Main Engine Model Series,Power Type,SFC Vessel Types,OFC Vessel Types,Main Engine Model Designer,Speed (knots),Draught (m),Beam (m),Main Engine Model Designer group,Builder Country/Region,Owner Nationality/Region,Hull No,Fleet Type,Consumption (tpd)
MOL Tradition,Fully Cellular Container,199000,197500,2017,400,In Service,Mitsui OSK Lines,Mitsui OSK Lines,ONE,Marshall Is.,,IFO 380,Diesel 2-Stroke,,20150,,59250,,,,,,154.89,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,21,16,58.8,MAN Energy Solutions,South Korea,Japan,2170,Containerships,
Al Muraykh,Fully Cellular Container,195636,199744,2015,400,In Service,Hapag-Lloyd Cont,Hapag-Lloyd,Hapag-Lloyd Cont,Malta,,IFO 380,Diesel 2-Stroke,,18800,12960,61000,,,,,,,N,10S90ME-C10.2,S90,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,,14.5,58.6,MAN Energy Solutions,South Korea,Germany,S747,Containerships,
Al Zubara,Fully Cellular Container,195636,199744,2015,400,In Service,Hapag-Lloyd Cont,Hapag-Lloyd,Hapag-Lloyd Cont,Malta,,IFO 380,Diesel 2-Stroke,,18800,12960,61000,,,,,,,N,10S90ME-C10.2,S90,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,,14.5,58.6,MAN Energy Solutions,South Korea,Germany,S748,Containerships,
Al Dahna,Fully Cellular Container,195636,199744,2016,400,In Service,Hapag-Lloyd Cont,Hapag-Lloyd,Hapag-Lloyd Cont,Malta,,IFO 380,Diesel 2-Stroke,,18800,12960,61000,,,,,,,N,10S90ME-C10.2,S90,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,,14.5,58.6,MAN Energy Solutions,South Korea,Germany,2718,Containerships,
Barzan,Fully Cellular Container,195636,199744,2015,400,In Service,Hapag-Lloyd Cont,Hapag-Lloyd,Hapag-Lloyd Cont,Malta,,IFO 380,Diesel 2-Stroke,,18800,12960,61000,,,,,,,N,10S90ME-C10.2,S90,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,,14.5,58.6,MAN Energy Solutions,South Korea,Germany,S746,Containerships,
Al Nefud,Fully Cellular Container,195636,199744,2015,400,In Service,Hapag-Lloyd Cont,Hapag-Lloyd,Hapag-Lloyd Cont,Malta,,IFO 380,Diesel 2-Stroke,,18800,12960,61000,,,,,,,N,10S90ME-C10.2,S90,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,,14.5,58.6,MAN Energy Solutions,South Korea,Germany,2717,Containerships,
Tihama,Fully Cellular Container,195636,199744,2016,400,In Service,Hapag-Lloyd Cont,Hapag-Lloyd,Hapag-Lloyd Cont,Malta,,IFO 380,Diesel 2-Stroke,,18800,12960,61000,,,,,,,N,10S90ME-C10.2,S90,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,,14.5,58.6,MAN Energy Solutions,South Korea,Germany,2719,Containerships,
COSCO Shipping Gemini,Fully Cellular Container,194864,202014,2018,399.8,In Service,COSCO Shipping Lines,China COSCO Shipping,COSCO Shipping Lines,Hong Kong,,IFO 380,Diesel 2-Stroke,,20000,9000,67100,,,,,,139.5,N,11S90ME-C10.5,S90,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,22.5,14,58.6,MAN Energy Solutions,China P.R.,China P.R.,C20K-1,Containerships,
COSCO Shipping Taurus,Fully Cellular Container,194852,201868,2018,399.81,In Service,COSCO Shipping Lines,China COSCO Shipping,COSCO Shipping Lines,Hong Kong,,IFO 380,Diesel 2-Stroke,,20000,,55000,,,,,,139.5,N,11S90ME-C10.5,S90,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,,16,58.6,MAN Energy Solutions,China P.R.,China P.R.,H1413,Containerships,
COSCO Shipping Sagittarius,Fully Cellular Container,194852,202133,2018,399.81,In Service,COSCO Shipping Lines,China COSCO Shipping,COSCO Shipping Lines,Hong Kong,,IFO 380,Diesel 2-Stroke,,20000,,55000,,,,,,139.5,N,11S90ME-C10.5,S90,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,22.5,16,58.6,MAN Energy Solutions,China P.R.,China P.R.,H1415,Containerships,
COSCO Shipping Virgo,Fully Cellular Container,194852,201827,2018,399.81,In Service,COSCO Shipping Lines,China COSCO Shipping,COSCO Shipping Lines,Hong Kong,,IFO 380,Diesel 2-Stroke,,20000,,55000,,,,,,139.5,N,11S90ME-C10.5,S90,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,22.5,16,58.6,MAN Energy Solutions,China P.R.,China P.R.,H1414,Containerships,
Maersk Mc-Kinney Moller,Fully Cellular Container,194849,194153,2013,399.9,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,Fitted,IFO 380,Hybrid Mech./Elec.,,18270,9000,59360,IFO 380,,,,,185,N,8S80ME-C9.2,S80,Hybrid Mech./Elec.,"Post-Panamax 15,000+ TEU",,MAN B. & W.,23,16,59,MAN Energy Solutions,South Korea,Denmark,4250,Containerships,
Mary Maersk,Fully Cellular Container,194849,194252,2013,399.9,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,Fitted,IFO 380,Hybrid Mech./Elec.,,18270,9000,59360,IFO 380,,,,,185,N,8S80ME-C9.2,S80,Hybrid Mech./Elec.,"Post-Panamax 15,000+ TEU",,MAN B. & W.,23,16,59,MAN Energy Solutions,South Korea,Denmark,4252,Containerships,
Madison Maersk,Fully Cellular Container,194849,194394,2014,399.2,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,Fitted,IFO 380,Hybrid Mech./Elec.,,18270,9000,59360,IFO 380,,,,,185,N,8S80ME-C9.2,S80,Hybrid Mech./Elec.,"Post-Panamax 15,000+ TEU",,MAN B. & W.,23,16,59,MAN Energy Solutions,South Korea,Denmark,4254,Containerships,
Maribo Maersk,Fully Cellular Container,194849,196000,2014,399.9,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,,IFO 380,Hybrid Mech./Elec.,,18270,9000,59360,IFO 380,,,,,185,N,8S80ME-C9.2,S80,Hybrid Mech./Elec.,"Post-Panamax 15,000+ TEU",,MAN B. & W.,23,16,59,MAN Energy Solutions,South Korea,Denmark,4256,Containerships,
Matz Maersk,Fully Cellular Container,194849,194284,2014,399.9,In Service,Maersk,A.P. Moller,Maersk,Danish Int'l,Fitted,IFO 380,Hybrid Mech./Elec.,,18270,9000,59360,IFO 380,,,,,185,N,8S80ME-C9.2,S80,Hybrid Mech./Elec.,"Post-Panamax 15,000+ TEU",,MAN B. & W.,23,16,59,MAN Energy Solutions,South Korea,Denmark,4258,Containerships,
