Name,Type,GT,Dwt,Built,LOA (m),Status,Owner,Group Owner,Operator,Flag State,SOx Scrubber Status,Main Engine Fuel Type,Power Type,Total Installed Diesel Cap. (kW),TEU,Auxiliary Engine 1 (mkW),Main Engine 1 (mkW),Main Bunker Fuel Type,Ancillary Engine Fuel Type,Design Speed,Main Consumption at Design Speed (tpd),Ice Class Equivalent (Fi-Sw),Ice_class_level,Price_NB,Ice Class (Ind),Main Engine Model,Main Engine Model Series,Power Type,SFC Vessel Types,OFC Vessel Types,Main Engine Model Designer,Speed (knots),Draught (m),Beam (m),Main Engine Model Designer group,Builder Country/Region,Owner Nationality/Region,Hull No,Fleet Type,Consumption (tpd)
Ulusoy 11,Bulk Carrier,43717,79422,2011,229,In Service,Ulusoy Denizyollari,Ulusoy Denizyollari,Oldendorff Carriers,Turkey,,IFO 380,Diesel 2-Stroke,,,2664,11620,,,,,Category II,1,,Y,7RT-flex50-D,flex50,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,Wartsila 2-stroke,14,14.62,32.26,CSSC,China P.R.,Turkey,06C-015,Bulkers,
Wanisa,Bulk Carrier,43717,79401,2012,229,In Service,Zhonghai Puyuan Shpg,China COSCO Shipping,Zhonghai Puyuan Shpg,Hong Kong,,IFO 380,Diesel 2-Stroke,,,,11620,,,,,Category II,1,,Y,7RT-flex50-B,flex50,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,Wartsila 2-stroke,14,14.6,32.26,CSSC,China P.R.,China P.R.,10C-066,Bulkers,
Wei Lun Ju Long,Bulk Carrier,43717,79421,2012,228.91,In Service,Weilun Shipping,Weilun Shipping,Weilun Shipping,China P.R.,,IFO 380,Diesel 2-Stroke,,,,11620,,,,,,0,,Y,7RT-flex50-B,flex50,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,Wartsila 2-stroke,14.3,14.58,32.26,CSSC,China P.R.,China P.R.,10C-028,Bulkers,
Miho Pracat,Bulk Carrier,43717,79964,2008,229,In Service,Atlantska Plovidba,Atlantska Plovidba,Atlantska Plovidba,Croatia,,IFO 380,Diesel 2-Stroke,,,,11612,,,,,,0,,Y,7RT-flex50-B,flex50,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,Wartsila 2-stroke,14.3,14.62,32.25,CSSC,China P.R.,Croatia,05C-062,Bulkers,
Orient Union,Bulk Carrier,43717,79754,2011,229,In Service,Tongli Shipping,Tongli Shipping,Tongli Shipping,Hong Kong,,IFO 380,Diesel 2-Stroke,,,,11620,IFO 380,,,,Category II,1,43,Y,7RT-flex50-B,flex50,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,Wartsila 2-stroke,16.6,14.58,32.26,CSSC,China P.R.,China P.R.,GH402A,Bulkers,
Adam I,Bulk Carrier,43717,79775,2010,229,In Service,Sea Traders,Dynacom Tankers Mgmt,Sea Traders,Malta,,IFO 380,Diesel 2-Stroke,,,,11620,IFO 380,,,,Category II,1,43,Y,7RT-flex50-B,flex50,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,Wartsila 2-stroke,13,14.58,32.26,CSSC,China P.R.,Greece,GH402B,Bulkers,36
Sea Commander,Bulk Carrier,43614,81856,2018,228.99,In Service,Interocean Shpg Co,Interocean Shpg Co,Interocean Shpg Co,Malta,,IFO 380,Diesel 2-Stroke,,,2424,9660,,,,,IC,3,,Y,6S60ME-C8.2,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,,14.52,32.26,MAN Energy Solutions,Japan,Hong Kong,10814,Bulkers,
Lila Tokyo,Bulk Carrier,43537,79387,2010,229,In Service,Arka Global Marine,Arka Global Marine,Arka Global Marine,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,,11612,,,,,Category II,1,38.5,Y,7S50MC-C8.2,S50,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,13.5,14.64,32.26,MAN Energy Solutions,China P.R.,U.A.E.,06C-068,Bulkers,38
Golden Opportunity,Bulk Carrier,42785,75750,2008,224.9,In Service,Golden Ocean Group,Fredriksen Group,Golden Ocean Group,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,2220,11300,,,,,IC,3,35,Y,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.3,14.15,32.25,MAN Energy Solutions,China P.R.,Norway,1009,Bulkers,
Ioannis R,Bulk Carrier,42785,75750,2008,224.9,In Service,John J. Rigos Marine,John J. Rigos Marine,John J. Rigos Marine,Liberia,,IFO 380,Diesel 2-Stroke,,,2220,11300,,,,,IC,3,34.5,Y,5S60MC-C7.1,S60,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,MAN B. & W.,14.3,14.15,32.25,MAN Energy Solutions,China P.R.,Greece,1046,Bulkers,
